@attribute ID numeric
@attribute budget numeric
@attribute genre1 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre2 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre3 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre4 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre5 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre6 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre7 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute popularity numeric
@attribute releasedate date "yyyy-MM-dd"
@attribute revenue numeric
@attribute title string
@attribute voteaverage numeric
@attribute votecount numeric

@data

7848,125000000.00,"Adventure","Fantasy","Family","","","","",7.56,"2011-07-07",1327817822.00,"Harry Potter and the Deathly Hallows: Part 2",7.20,1777
26516,185000000.00,"Action","Adventure","Science","Fiction","","","",7.78,"2013-05-16",467365246.00,"Star Trek Into Darkness",7.40,1733
1061,70000000.00,"Drama","History","War","","","","",3.70,"1998-07-24",481840909.00,"Saving Private Ryan",7.20,1674
804,28000000.00,"Action","Thriller","","","","","",5.68,"1988-07-14",138708852.00,"Die Hard",6.80,1662
1066,30000000.00,"Animation","Comedy","Family","","","","",7.57,"1995-11-21",361958736.00,"Toy Story",7.10,1630
7847,250000000.00,"Adventure","Fantasy","Family","","","","",7.41,"2010-11-19",954305868.00,"Harry Potter and the Deathly Hallows: Part 1",6.90,1585
487,85000000.00,"Action","Comedy","Crime","Thriller","","","",5.70,"2001-12-06",450717150.00,"Ocean's Eleven",6.80,1560
5782,165000000.00,"Animation","","","","","","",5.72,"2010-03-24",494878759.00,"How to Train Your Dragon",7.00,1535
5784,200000000.00,"Animation","Comedy","Family","","","","",5.60,"2010-06-17",1063171911.00,"Toy Story 3",7.20,1526
597,100000000.00,"Action","Science","Fiction","Thriller","","","",7.69,"1991-07-01",520000000.00,"Terminator 2: Judgment Day",7.00,1497
1011,33000000.00,"Crime","Mystery","Thriller","","","","",5.46,"1995-09-22",327311859.00,"Se7en",7.50,1474
1628,32350000.00,"Action","Adventure","Science","Fiction","","","",5.86,"1983-05-25",572700000.00,"Star Wars: Episode VI - Return of the Jedi",7.40,1465
2095,60000000.00,"Action","Drama","Mystery","Thriller","","","",8.37,"2002-06-06",214034224.00,"The Bourne Identity",7.00,1465
908,130000000.00,"Adventure","Fantasy","Family","","","","",6.54,"2004-05-31",789804554.00,"Harry Potter and the Prisoner of Azkaban",6.80,1456
4645,25000000.00,"Action","Crime","Thriller","","","","",5.97,"2008-09-25",226830568.00,"Taken",6.90,1447
637,63000000.00,"Adventure","Science","Fiction","","","","",9.48,"1993-06-08",920100000.00,"Jurassic Park",6.80,1445
375,90000000.00,"Action","Adventure","Fantasy","Science","Fiction","Thriller","",5.97,"1997-05-09",263920180.00,"The Fifth Element",6.80,1439
415,20000000.00,"Action","Adventure","","","","","",5.63,"1981-06-12",383000000.00,"Raiders of the Lost Ark",7.10,1399
7020,80000000.00,"Drama","Mystery","Thriller","","","","",5.54,"2010-02-18",294803014.00,"Shutter Island",6.90,1393
10945,70000000.00,"Action","Drama","Thriller","War","","","",4.57,"2009-08-21",319131050.00,"Inglourious Basterds",7.20,1374
656,11000000.00,"Action","Horror","Science","Fiction","Thriller","","",7.78,"1979-05-25",104931801.00,"Alien",7.10,1327
40223,200000000.00,"Action","Drama","Horror","Science","Fiction","Thriller","",8.25,"2013-06-21",531865000.00,"World War Z",6.80,1273
521,72000000.00,"Action","Drama","History","War","","","",5.18,"1995-05-24",210000000.00,"Braveheart",7.20,1209
956,54000000.00,"Action","Fantasy","Thriller","","","","",4.75,"2005-12-11",132511035.00,"V for Vendetta",7.20,1203
42749,75000000.00,"Crime","Thriller","","","","","",10.23,"2013-05-31",117698894.00,"Now You See Me",7.10,1120
419,48000000.00,"Action","Adventure","","","","","",4.81,"1989-05-24",474171806.00,"Indiana Jones and the Last Crusade",7.10,1097
697,22000000.00,"Drama","History","War","","","","",5.42,"1993-11-29",321265768.00,"Schindler's List",7.60,1082
2097,70000000.00,"Action","Drama","Mystery","Thriller","","","",6.01,"2007-08-03",227471070.00,"The Bourne Ultimatum",7.00,1077
437,10000000.00,"Crime","Thriller","","","","","",2.69,"2000-12-06",83557872.00,"Snatch",7.30,1051
1313,90000000.00,"Crime","Drama","Thriller","","","","",6.13,"2006-10-05",289847354.00,"The Departed",7.20,1046
559,13000000.00,"Crime","Drama","","","","","",4.04,"1974-12-20",47542841.00,"The Godfather: Part II",7.80,1006
431,16000000.00,"Crime","Drama","Thriller","","","","",3.73,"1994-09-14",45284974.00,"Leon: The Professional",7.60,1006
1016,28000000.00,"Adventure","Animation","Comedy","Fantasy","Musical","Romance","Family",5.13,"1992-11-25",504050219.00,"Aladdin",6.90,971
591,19000000.00,"Crime","Drama","Suspense","Thriller","","","",3.04,"1991-02-13",272742922.00,"The Silence of the Lambs",7.30,961
380,55000000.00,"Action","Crime","","","","","",4.43,"2003-10-09",180949000.00,"Kill Bill: Vol. 1",6.80,961
1212,40000000.00,"Drama","Mystery","Thriller","","","","",4.94,"2006-10-19",109676311.00,"The Prestige",7.20,954
409,28000000.00,"Drama","Science","Fiction","Thriller","","","",4.53,"1982-06-25",32768670.00,"Blade Runner",7.50,949
43982,13000000.00,"Comedy","Drama","","","","","",10.63,"2011-11-02",0.00,"Intouchables",7.80,945
914,18500000.00,"Action","Horror","Science","Fiction","Thriller","","",6.50,"1986-07-18",131060248.00,"Aliens",7.20,931
32454,0.00,"Animation","Comedy","Fantasy","Family","","","",9.05,"2013-06-21",0.00,"Monsters University",6.90,903
2096,75000000.00,"Action","Drama","Thriller","","","","",6.05,"2004-07-23",176000000.00,"The Bourne Supremacy",6.90,900
458,15000000.00,"Adventure","Animation","Family","","","","",2.79,"2001-07-20",274925095.00,"Spirited Away",7.70,865
751,60000000.00,"Crime","Drama","Fantasy","","","","",4.37,"1999-12-05",284600000.00,"The Green Mile",7.50,865
22539,105000000.00,"Drama","Science","Fiction","Thriller","","","",21.78,"2013-10-04",536000000.00,"Gravity",7.90,821
13004,23600000.00,"Comedy","Horror","","","","","",5.68,"2009-10-08",102391382.00,"Zombieland",6.90,821
22934,135000000.00,"Animation","Comedy","Family","","","","",6.86,"2013-03-21",585178928.00,"The Croods",6.80,768
702,1200000.00,"Western","","","","","","",4.03,"1966-12-23",6000000.00,"The Good, the Bad and the Ugly",7.50,738
877,52000000.00,"Crime","Drama","","","","","",4.19,"2002-12-25",351112395.00,"Catch Me If You Can",7.10,733
951,55000000.00,"Thriller","","","","","","",3.13,"1999-08-02",672806292.00,"The Sixth Sense",7.00,718
408,9000000.00,"Drama","Mystery","Thriller","","","","",4.36,"2000-09-05",39723096.00,"Memento",7.30,714
674,30000000.00,"Action","Crime","Thriller","","","","",3.85,"2004-04-15",152159461.00,"Kill Bill: Vol. 2",6.90,695
866,6000000.00,"Crime","Mystery","Thriller","","","","",3.72,"1995-08-16",23341568.00,"The Usual Suspects",7.60,694
430,1350000.00,"Comedy","Crime","","","","","",0.84,"1998-03-05",3897569.00,"Lock, Stock and Two Smoking Barrels",7.10,694
37605,115000000.00,"Action","Drama","Science","Fiction","Thriller","","",10.26,"2013-08-09",286140700.00,"Elysium",6.80,693
34526,120000000.00,"Drama","Romance","","","","","",5.30,"2013-05-10",0.00,"The Great Gatsby",7.00,664
874,0.00,"Comedy","Drama","","","","","",2.19,"1997-12-20",229400000.00,"Life Is Beautiful",7.80,654
19525,15000000.00,"History","","","","","","",2.79,"2010-09-06",414211549.00,"The King's Speech",6.90,649
445,15000000.00,"Comedy","Crime","","","","","",3.80,"1998-03-06",27739163.00,"The Big Lebowski",7.30,639
518,11400000.00,"Comedy","Drama","Fantasy","Romance","","","",3.85,"2001-04-25",174000000.00,"Amélie",7.30,637
6771,29000000.00,"Drama","Romance","","","","","",2.69,"2004-06-25",115603229.00,"The Notebook",6.80,632
8376,33000000.00,"Drama","","","","","","",3.73,"2008-12-11",269958228.00,"Gran Torino",7.10,616
390,20000000.00,"Fantasy","","","","","","",2.87,"2004-03-19",72000000.00,"Eternal Sunshine of the Spotless Mind",7.40,612
510,2200000.00,"Drama","","","","","","",3.01,"1971-12-18",26589000.00,"A Clockwork Orange",7.00,611
441,25000000.00,"Action","Adventure","Crime","Drama","Thriller","","",2.67,"1983-12-08",65884703.00,"Scarface",7.30,600
763,3000000.00,"Drama","","","","","","",3.30,"1975-11-18",108981275.00,"One Flew Over the Cuckoo's Nest",7.50,594
2094,16000000.00,"Comedy","Fantasy","Romance","Family","","","",5.44,"1987-09-25",30857814.00,"The Princess Bride",7.40,593
394,10500000.00,"Adventure","Mystery","Science","Fiction","","","",4.32,"1968-04-05",56715371.00,"2001: A Space Odyssey",7.10,590
395,29500000.00,"Mystery","Science","Fiction","Thriller","","","",2.95,"1995-12-27",168840000.00,"Twelve Monkeys",6.90,587
43262,170000000.00,"Action","Adventure","Fantasy","","","","",22.01,"2013-11-08",479765000.00,"Thor: The Dark World",7.10,569
719,60000000.00,"Drama","Romance","","","","","",5.47,"2001-12-12",313542341.00,"A Beautiful Mind",6.80,567
1308,19000000.00,"Drama","Fantasy","War","","","","",6.00,"2006-10-15",8325822.00,"Pan's Labyrinth",7.30,556
4526,90000000.00,"Adventure","Drama","","","","","",4.00,"2000-12-07",429632142.00,"Cast Away",6.80,551
973,25000000.00,"Crime","Drama","","","","","",2.48,"1990-09-18",46836394.00,"Goodfellas",7.50,544
927,19000000.00,"Horror","Thriller","","","","","",2.36,"1980-05-22",44017374.00,"The Shining",7.30,531
13006,7500000.00,"Comedy","Drama","Romance","","","","",8.97,"2009-07-17",32374303.00,"(500) Days of Summer",7.00,530
28845,250000000.00,"Action","Adventure","Fantasy","","","","",22.82,"2013-12-13",949100000.00,"The Hobbit: The Desolation of Smaug",7.60,526
753,1200000.00,"Crime","Thriller","","","","","",6.09,"1992-06-25",14661007.00,"Reservoir Dogs",7.30,524
371,15000000.00,"Comedy","","","","","","",3.92,"1999-09-15",356296601.00,"American Beauty",6.90,515
468,4500000.00,"Drama","Mystery","Science","Fiction","Thriller","","",3.05,"2001-10-26",1270522.00,"Donnie Darko",7.20,500
9539,11715578.00,"Action","Drama","History","Sport","","","",9.93,"2008-12-12",21888598.00,"Ip Man",7.20,500
1272,100000000.00,"Action","Drama","Thriller","","","","",3.37,"2006-12-07",170877916.00,"Blood Diamond",6.80,491
670,340000.00,"Drama","","","","","","",3.27,"1957-04-09",0.00,"12 Angry Men",7.90,488
7817,15000000.00,"Drama","Romance","","","","","",2.95,"2008-11-12",377910544.00,"Slumdog Millionaire",7.00,485
404,10000000.00,"Drama","","","","","","",3.70,"1998-10-30",23875127.00,"American History X",7.30,471
24445,125000000.00,"Action","Crime","Thriller","","","","",5.48,"2011-04-28",626137675.00,"Fast Five",6.90,470
1294,55000000.00,"Drama","","","","","","",2.27,"2006-12-14",305070744.00,"The Pursuit of Happyness",7.00,468
14499,60000000.00,"Action","Adventure","Comedy","","","","",4.83,"2010-08-13",46489927.00,"Scott Pilgrim vs. the World",7.00,461
13341,9000000.00,"Comedy","Drama","Romance","","","","",2.93,"2009-12-25",70000000.00,"3 Idiots",7.70,460
3101,8000000.00,"Action","Comedy","","","","","",3.44,"2007-02-14",79536889.00,"Hot Fuzz",6.80,451
4180,25000000.00,"Crime","Drama","Suspense","Thriller","","","",4.04,"2007-11-08",159009059.00,"No Country for Old Men",7.10,450
966,400000.00,"Adventure","Comedy","Fantasy","","","","",4.75,"1975-03-13",5028948.00,"Monty Python and the Holy Grail",7.40,445
744,10000000.00,"Drama","","","","","","",2.93,"1997-12-05",225900000.00,"Good Will Hunting",7.00,445
457,26500000.00,"Adventure","Animation","Fantasy","","","","",1.81,"1997-07-12",159375308.00,"Princess Mononoke",7.80,440
436,18000000.00,"Action","Adventure","Science","Fiction","Thriller","","",2.66,"1987-06-11",98235548.00,"Predator",6.80,440
839,17000000.00,"Drama","War","","","","","",2.84,"1987-05-31",46357676.00,"Full Metal Jacket",7.20,431
3247,0.00,"Action","Adventure","Animation","Fantasy","Science","Fiction","",2.64,"2004-11-19",234710455.00,"Howl's Moving Castle",7.70,420
878,4500000.00,"Drama","","","","","","",0.97,"2000-10-27",7390108.00,"Requiem for a Dream",7.30,399
818,7000000.00,"Adventure","Horror","Thriller","","","","",3.29,"1975-06-19",470654000.00,"Jaws",6.80,398
18677,38000000.00,"Western","","","","","","",4.14,"2010-12-22",249250624.00,"True Grit",6.80,395
4546,0.00,"Animation","Fantasy","Family","","","","",3.47,"1988-04-16",0.00,"My Neighbor Totoro",7.70,394
5142,18000000.00,"Animation","Fantasy","Musical","Family","","","",1.23,"1993-10-09",75634409.00,"The Nightmare Before Christmas",6.80,391
837,3300000.00,"Crime","Drama","","","","","",2.92,"2002-08-30",27387381.00,"City of God",7.60,388
3749,15000000.00,"Adventure","Drama","","","","","",2.73,"2007-09-20",37682065.00,"Into the Wild",7.30,384
986,36000000.00,"Mystery","Science","Fiction","Thriller","Romance","","",2.06,"1997-10-23",12532777.00,"Gattaca",7.00,377
1150,60000000.00,"Action","Crime","Drama","Thriller","","","",3.32,"1995-12-14",187436818.00,"Heat",6.90,375
11279,5000000.00,"Drama","Science","Fiction","","","","",2.84,"2009-07-17",7191615.00,"Moon",7.30,356
479,4000000.00,"Drama","","","","","","",1.89,"2003-09-18",106000000.00,"Lost in Translation",6.90,348
5010,19000000.00,"Adventure","Comedy","Family","","","","",2.36,"1985-06-06",61389680.00,"The Goonies",6.90,347
5166,70000000.00,"Action","Crime","Drama","Thriller","","","",1.90,"2004-04-23",77894965.00,"Man on Fire",6.90,346
561,54000000.00,"Action","Crime","Drama","Thriller","","","",3.56,"1990-12-24",136766062.00,"The Godfather: Part III",6.80,346
905,3000000.00,"Action","Drama","Mystery","Thriller","","","",1.31,"2003-12-21",14980005.00,"Oldboy",7.50,343
953,4000000.00,"Comedy","Horror","","","","","",3.32,"2004-09-24",30039392.00,"Shaun of the Dead",7.00,343
402,30000000.00,"Drama","Sport","","","","","",4.08,"2004-12-14",216763646.00,"Million Dollar Baby",6.90,340
604,950000.00,"Drama","Romance","War","","","","",2.53,"1942-11-26",10462500.00,"Casablanca",7.20,332
